name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Installing the Catheter,231400,False,26,36 Crazyfists,A Snow Capped Romance,0.42,0.949,0,-5.108,0.0781,0.00633,1.4e-06,0.162,0.665,178.017,4.0,industrial
Strangled,283440,True,26,Snake River Conspiracy,Sonic Jihad,0.468,0.85,7,-2.553,0.0358,0.232,0.0117,0.35,0.127,90.023,4.0,industrial
With Nothing Underneath,208800,False,25,36 Crazyfists,A Snow Capped Romance,0.578,0.959,0,-5.56,0.0543,0.000834,0.000159,0.691,0.424,107.99,3.0,industrial
Girlfriend,270120,True,19,(Hed) P.E.,New World Orphans,0.635,0.698,5,-10.039,0.237,0.05,2.94e-05,0.569,0.568,179.959,4.0,industrial
Through The Gates,95106,False,33,Celldweller,Soundtrack For The Voices In My Head Vol. 01,0.43,0.728,10,-8.601,0.0365,0.000242,0.895,0.0909,0.263,134.941,4.0,industrial
The Perfect Drug,315440,False,57,Nine Inch Nails,Lost Highway,0.627,0.883,5,-8.988,0.0947,0.0207,0.00346,0.323,0.252,149.024,4.0,industrial
Resist,326666,False,21,Front Line Assembly,Caustic Grip,0.613,0.873,10,-9.269,0.0416,2.65e-05,0.68,0.803,0.475,128.0,4.0,industrial
Halleluja,224706,False,63,Rammstein,Raritäten (1994 - 2012),0.575,0.846,9,-5.559,0.0324,8.98e-05,0.0991,0.104,0.357,130.128,4.0,industrial
Illusion,286960,False,45,VNV Nation,Judgement,0.457,0.434,7,-10.445,0.0366,0.0839,0.00552,0.123,0.0822,180.145,4.0,industrial
Sun Doesn't Rise,193813,False,62,Mushroomhead,XIII,0.376,0.988,5,-2.375,0.216,8.82e-05,6.36e-05,0.346,0.507,192.153,4.0,industrial
Sex Reflex,198649,True,16,Bile,Sex Reflex (Remastered),0.56,0.92,11,-9.789,0.0334,0.0067,0.125,0.813,0.452,127.074,4.0,industrial
Save Me,214040,False,0,Damageplan,Metal,0.486,0.944,7,-3.924,0.0552,5.25e-05,0.00931,0.103,0.573,108.799,4.0,industrial
Tanz Schlampe,247920,False,29,X-RX,Stage 2,0.656,0.995,9,-4.592,0.052,6.87e-06,0.419,0.369,0.705,139.991,4.0,industrial
Second Skin,224375,False,18,Loadstar,Future Perfect,0.413,0.94,1,-2.468,0.045,0.000327,0.192,0.152,0.173,174.997,4.0,industrial
Pick Pocket,338268,False,6,Prolix,Over You / Pick Pocket,0.489,0.984,7,-2.493,0.107,1.59e-05,0.878,0.0829,0.571,174.009,4.0,industrial
Soul Hacker,192826,False,54,Fear Factory,Genexus,0.591,0.958,11,-2.584,0.0505,1.26e-05,4.54e-05,0.216,0.696,125.031,4.0,industrial
Morgenstern,239866,False,55,Rammstein,"Reise, Reise",0.514,0.945,8,-4.833,0.105,0.00234,0.000158,0.0638,0.409,104.971,4.0,industrial
Cut Me,324440,False,22,Mushroomhead,Savior Sorrow,0.564,0.841,11,-5.505,0.0515,0.0308,7.14e-06,0.108,0.201,100.013,4.0,industrial
GodDamn,200586,True,29,HELLYEAH,HELLYEAH,0.427,0.984,5,-3.054,0.116,1.69e-05,0.000111,0.355,0.352,151.255,4.0,industrial
Mädchen in Uniform,177266,False,23,Nachtmahr,Mädchen in Uniform,0.611,0.944,11,-5.308,0.0597,0.000326,0.114,0.615,0.94,160.006,4.0,industrial
Killing Fields,336200,False,22,FGFC820,Law & Ordnance,0.53,0.992,5,-4.755,0.0566,0.000437,0.395,0.341,0.578,141.995,4.0,industrial
Dream & Reality,230733,False,24,Area 11,All the Lights in the Sky,0.478,0.992,4,-3.792,0.112,0.014,0.0,0.272,0.611,178.026,4.0,industrial
Cruella,354506,False,20,Deadsy,Commencement,0.576,0.504,9,-8.346,0.0343,0.00676,0.00434,0.0877,0.31,76.241,4.0,industrial
Desperation,212691,True,25,Sevendust,Blood & Stone,0.481,0.974,10,-5.55,0.163,0.000177,4.18e-05,0.364,0.317,140.99,4.0,industrial
Nights of Tehran,339026,False,1,Angband,IV,0.536,0.688,11,-5.618,0.0281,0.0211,2.1e-05,0.046,0.184,145.99,3.0,iranian
96,133514,False,0,Farzad Golpayegani,Six,0.363,0.783,10,-5.324,0.051,0.000173,0.000337,0.0764,0.173,115.134,4.0,iranian
Fairys Playing Chimes,79293,False,0,Leila Bela,Angra Manyu,0.353,0.219,4,-21.143,0.106,0.317,0.826,0.349,0.0393,134.133,4.0,iranian
"Melted Organs, Remained Skins",547200,False,0,Tegh,Emergent Errors,0.116,0.194,7,-18.84,0.077,0.0715,0.858,0.33,0.0557,149.794,4.0,iranian
Saved from the Truth,359960,False,0,Angband,Saved from the Truth,0.32,0.968,8,-4.709,0.173,0.00372,0.00508,0.453,0.276,154.324,4.0,iranian
Tighe Kond,236907,False,0,Electroqute,Make Yourself Heard,0.336,0.783,9,-4.793,0.0434,0.000539,3.27e-06,0.468,0.49,170.169,4.0,iranian
The Fury,129000,False,0,Alireza Mashayekhi;Layla Ramezan,"Mashayekhi: Sheherazade ""Layla Ramezan Plays 100 Years of Iranian Piano Music, Vol.2""",0.377,0.0554,10,-20.891,0.0518,0.969,0.755,0.0595,0.066,140.067,5.0,iranian
Myriad Disguises,412800,False,6,Alphaxone;protoU,Back to Beyond,0.135,0.214,3,-15.965,0.041,0.603,0.888,0.0783,0.0286,99.778,3.0,iranian
Lullaby Con Guitarra Española,144080,False,25,Salvador Andrades,Musica Relajante Para Que Estudien Los Niños,0.514,0.156,9,-15.889,0.0423,0.958,0.93,0.111,0.158,142.513,4.0,iranian
Derelict,378062,False,5,Alphaxone,Ghost Machine,0.166,0.246,8,-23.682,0.0554,0.849,0.898,0.168,0.0469,113.05,3.0,iranian
Burnt Black Eyes (For Sadeq Hedayat),490000,False,0,Siavash Amini;Eugene Thacker,Songs for Sad Poets,0.0949,0.365,1,-16.891,0.0624,0.0239,0.136,0.246,0.0285,88.571,4.0,iranian
Alone Together,603428,False,0,Siavash Amini;Matt Finney,Gospel,0.0743,0.135,9,-21.833,0.0388,0.018,0.855,0.111,0.032,74.572,4.0,iranian
Helium (H to He Progress),193906,False,0,XERXES THE DARK,Astral Code Connection,0.212,0.646,5,-13.636,0.116,0.571,0.000206,0.324,0.044,109.633,4.0,iranian
Sickle of Melmedas,355500,False,0,From The Vastland,Daevayasna,0.355,0.979,6,-2.859,0.111,1.62e-05,0.592,0.368,0.0341,119.823,4.0,iranian
Our God Saves - Live,302360,False,34,Paul Baloche;Integrity's Hosanna! Music,Our God Saves (Live),0.505,0.721,2,-5.164,0.0293,0.0297,0.0,0.544,0.233,96.011,4.0,iranian
"Persian Gardens, Op. 111 : Episode VI",340506,False,0,Alireza Mashayekhi;Farimah Ghavamsadri;National Symphony Orchestra of Ukraine;Vladimir Sirenko,Persian Gardens (Piece for Piano and Orchestra),0.158,0.116,9,-18.078,0.0375,0.936,0.911,0.234,0.0364,67.645,4.0,iranian
Real Immigrant,159500,False,0,ArtSaves,Empty Sounds,0.328,0.0779,9,-16.53,0.0374,0.808,0.746,0.134,0.0361,87.035,4.0,iranian
Ghorbangah,423500,False,6,Padra,Ghorbangah,0.53,0.962,6,-3.045,0.104,0.00151,8.51e-05,0.0635,0.219,122.02,4.0,iranian
Too Cheshmat 3,160000,False,2,Saeed Dehghan,Oryan,0.492,0.869,0,-8.763,0.158,0.178,0.843,0.089,0.435,149.955,4.0,iranian
River,384031,False,7,Porya Hatami,Land,0.198,0.291,10,-17.207,0.042,0.915,0.899,0.102,0.16,87.351,1.0,iranian
Solitude,274638,False,8,Alphaxone,Echoes from Outer Silence,0.216,0.194,4,-23.099,0.0419,0.501,0.893,0.111,0.0452,119.599,4.0,iranian
Gentagelsen Forskel,124457,False,0,Jaleh Negari,Arch Waves,0.154,0.192,2,-18.79,0.0358,0.988,0.957,0.126,0.208,155.542,3.0,iranian
Nowruz,259970,False,0,DSM,Nowruz,0.236,0.0463,0,-26.831,0.042,0.927,0.815,0.103,0.0325,121.532,3.0,iranian
Yes! No! I Mean Yes! No I Don't!,38333,False,0,Leila Bela,Angra Manyu,0.0,0.572,8,-16.286,0.0,0.872,0.000175,0.119,0.0,0.0,0.0,iranian
