duration,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,n_beats,n_bars
329,12,0.202,0.837,2,-8.207,0.0446,1.75e-05,0.653,0.23,0.38,122.309,668.0,168.0
140,7,0.804,0.676,8,-4.639,0.0752,0.0047,0.71,0.067,0.611,127.982,287.0,71.0
207,31,0.402,0.286,9,-13.671,0.053,0.887,0.897,0.13,0.185,75.989,353.0,88.0
358,18,0.164,0.949,1,-11.465,0.0709,2.64e-06,0.62,0.22,0.0584,138.396,816.0,206.0
204,15,0.524,0.898,7,-6.543,0.0409,0.000328,0.796,0.102,0.229,130.016,440.0,109.0
131,36,0.472,0.114,0,-16.446,0.0522,0.992,0.936,0.0897,0.177,130.472,270.0,67.0
164,31,0.789,0.912,6,-4.458,0.0665,0.0907,3.64e-05,0.329,0.672,123.028,332.0,83.0
192,0,0.574,0.883,9,-6.686,0.136,0.0606,0.0,0.0524,0.692,123.095,389.0,97.0
424,13,0.769,0.64,9,-12.873,0.0566,0.00229,0.766,0.059,0.81,122.011,853.0,215.0
127,18,0.185,0.18,5,-16.276,0.0376,0.837,0.743,0.0891,0.0403,79.236,156.0,38.0
114,15,0.691,0.435,1,-9.505,0.0946,0.335,0.944,0.135,0.403,79.918,151.0,37.0
210,23,0.431,0.988,7,-3.761,0.0932,0.000107,0.0,0.0634,0.153,101.996,352.0,87.0
332,18,0.45,0.872,4,-5.054,0.0698,2.9e-05,0.861,0.0162,0.302,175.045,957.0,240.0
320,19,0.809,0.677,11,-4.825,0.0335,0.166,0.92,0.0542,0.875,110.001,581.0,145.0
205,34,0.582,0.66,7,-4.988,0.0544,0.399,0.0,0.127,0.484,83.789,275.0,67.0
137,36,0.602,0.362,11,-8.158,0.0859,0.549,0.756,0.186,0.231,144.07,323.0,80.0
122,29,0.548,0.394,2,-11.666,0.0282,0.864,0.856,0.1,0.472,105.79,209.0,52.0
203,24,0.695,0.764,10,-4.634,0.11,0.407,0.0,0.0763,0.921,92.005,304.0,75.0
329,58,0.71,0.845,11,-6.878,0.111,0.257,0.0,0.192,0.846,98.016,534.0,134.0
